Date,URL,Title,Cleaned_Title,Summary,Cleaned_Summary,Text,text_tokenised_stemmed,topic,topic_name,Tone,Extracted_Influencers,bias_score
01/01/2020,https://wow.tribunnews.com/2020/01/01/politisi-demokrat-minta-jokowi-pikir-lagi-soal-pindah-ibu-kota-kalau-hanya-utang-semua-juga-bisa,Politisi Demokrat Minta Jokowi Pikir Lagi Soal Pindah Ibu Kota&#58; Kalau Hanya Utang Semua Juga Bisa,politisi demokrat jokowi pikir pindah kota utang,"rencana perpindahan ibu kota baru yang diinisiasi oleh presiden ri joko widodo (jokowi) ke kalimantan timur menuai pro dan kontra dari berbagai pihak. politisi demokrat andi nurpati termasuk orang yang menentang adanya perpindahan ibu kota tersebut. dikutip tribunwow.com, andi menilai perpindahan ibu kota yang saat ini direncanakan oleh jokowi adalah hal yang perlu dipikirkan dengan matang. ia kemudian mengeluarkan sebuah pernyataan yang menyindir jokowi karena langkahnya untuk berutang.",rencana perpindahan kota diinisiasi presiden ri joko widodo jokowi kalimantan timur menuai pro kontra politisi demokrat andi nurpati orang menentang perpindahan kota dikutip tribunwowcom andi menilai perpindahan kota direncanakan jokowi dipikirkan matang mengeluarkan pernyataan menyindir jokowi langkahnya berutang,politisi demokrat jokowi pikir pindah kota utang rencana perpindahan kota diinisiasi presiden ri joko widodo jokowi kalimantan timur menuai pro kontra politisi demokrat andi nurpati orang menentang perpindahan kota dikutip tribunwowcom andi menilai perpindahan kota direncanakan jokowi dipikirkan matang mengeluarkan pernyataan menyindir jokowi langkahnya berutang,"['politis', 'demokrat', 'jokowi', 'pikir', 'pindah', 'kota', 'utang', 'rencana', 'pindah', 'kota', 'inisiasi', 'presiden', 'ri', 'joko', 'widodo', 'jokowi', 'kalimantan', 'timur', 'tuai', 'pro', 'kontra', 'politis', 'demokrat', 'andi', 'nurpati', 'orang', 'tentang', 'pindah', 'kota', 'kutip', 'tribunwowcom', 'andi', 'nilai', 'pindah', 'kota', 'rencana', 'jokowi', 'pikir', 'matang', 'keluar', 'nyata', 'sindir', 'jokowi', 'langkah', 'utang']",6,Legislation and Government Policies,Negative,"andi nurpati, jokowi",0
02/01/2020,https://kaltim.tribunnews.com/2020/01/02/hmi-cabang-kukar-ingatkan-warga-tak-menjual-lahan-ke-spekulan-ini-alasannya,"Hmi Cabang Kukar Ingatkan Warga Tak Menjual Lahan Ke Spekulan, Berkaca Warga Di Jakarta",hmi cabang kukar ingatkan warga menjual lahan spekulan berkaca warga jakarta,"hmi cabang kukar mengingatkan warga agar tak menjual lahan kepada spekulan. hal ini sangat wajar terjadi karena perputaran ekonomi terbesar tentunya akan terjadi di ibu kota seperti halnya yang terjadi di jakarta. ""seluruh masyarakat asli di kutai kartanegara khususnya yang bertempat di daerah sekitaran calon ikn agar tidak menyerahkan atau menjual tanahnya kepada para spekulan tanah, karena dampak keuntungan yang diperoleh hanya sementara saja, sedangkan dampak yang akan diperoleh akan berkepanjangan, ""ucapnya dari rilis yang dikeluarkan hmi cabang kukar, kamis (2/1/2019) menurutnya, masyarakat yang sudah lama meninggali daerah calon ibu kota akan perlahan habis tergeser. ""hal ini juga pernah terjadi di masyarakat betawi yang posisinya di jakarta semakin tergeser akibat banyaknya pendatang yang datang ke ikn,"" kata mursid mubarak.",hmi cabang kukar warga menjual lahan spekulan wajar perputaran ekonomi terbesar kota halnya jakarta masyarakat asli kutai kartanegara bertempat daerah sekitaran calon ikn menyerahkan menjual tanahnya spekulan tanah dampak keuntungan diperoleh dampak diperoleh berkepanjangan rilis dikeluarkan hmi cabang kukar kamis menurutnya masyarakat meninggali daerah calon kota perlahan habis tergeser masyarakat betawi posisinya jakarta tergeser akibat banyaknya pendatang ikn mursid mubarak,hmi cabang kukar ingatkan warga menjual lahan spekulan berkaca warga jakarta hmi cabang kukar warga menjual lahan spekulan wajar perputaran ekonomi terbesar kota halnya jakarta masyarakat asli kutai kartanegara bertempat daerah sekitaran calon ikn menyerahkan menjual tanahnya spekulan tanah dampak keuntungan diperoleh dampak diperoleh berkepanjangan rilis dikeluarkan hmi cabang kukar kamis menurutnya masyarakat meninggali daerah calon kota perlahan habis tergeser masyarakat betawi posisinya jakarta tergeser akibat banyaknya pendatang ikn mursid mubarak,"['hmi', 'cabang', 'kukar', 'ingat', 'warga', 'jual', 'lahan', 'spekulan', 'kaca', 'warga', 'jakarta', 'hmi', 'cabang', 'kukar', 'warga', 'jual', 'lahan', 'spekulan', 'wajar', 'putar', 'ekonomi', 'besar', 'kota', 'hal', 'jakarta', 'masyarakat', 'asli', 'kuta', 'kartanegara', 'tempat', 'daerah', 'sekitar', 'calon', 'ikn', 'serah', 'jual', 'tanah', 'spekulan', 'tanah', 'dampak', 'untung', 'oleh', 'dampak', 'oleh', 'panjang', 'rilis', 'keluar', 'hmi', 'cabang', 'kukar', 'kamis', 'turut', 'masyarakat', 'tinggal', 'daerah', 'calon', 'kota', 'perlahan', 'habis', 'geser', 'masyarakat', 'betawi', 'posisi', 'jakarta', 'geser', 'akibat', 'banyak', 'datang', 'ikn', 'mursid', 'mubarak']",7,Regional Development in Kalimantan,Neutral,mursid mubarak,-1
03/01/2020,https://www.kompas.com/tren/read/2020/01/03/100542365/hari-ini-dalam-sejarah-pemindahan-ibu-kota-ke-yogyakarta,Hari Ini Dalam Sejarah&#58; Pemindahan Ibu Kota Ke Yogyakarta,sejarah pemindahan kota yogyakarta,"hari ini, 74 tahun lalu, tepatnya 3 januari 1946, ibu kota republik indonesia dipindahkan ke yogyakarta. namun, saat itu, perpindahan ibu kota yang dilakukan dari jakarta ke yogyakarta tidak dipersiapkan dengan matang. pemindahan ini dilakukan dengan alasan keamanan. melansir harian kompas, 9 januari 1983, tidak ada sidang khusus terkait pemindahan ibukota saat itu.",tepatnya januari kota republik indonesia dipindahkan yogyakarta perpindahan kota jakarta yogyakarta dipersiapkan matang pemindahan alasan keamanan melansir harian kompas januari sidang khusus terkait pemindahan ibukota,sejarah pemindahan kota yogyakarta tepatnya januari kota republik indonesia dipindahkan yogyakarta perpindahan kota jakarta yogyakarta dipersiapkan matang pemindahan alasan keamanan melansir harian kompas januari sidang khusus terkait pemindahan ibukota,"['sejarah', 'pindah', 'kota', 'yogyakarta', 'tepat', 'januari', 'kota', 'republik', 'indonesia', 'pindah', 'yogyakarta', 'pindah', 'kota', 'jakarta', 'yogyakarta', 'siap', 'matang', 'pindah', 'alas', 'aman', 'lansir', 'hari', 'kompas', 'januari', 'sidang', 'khusus', 'kait', 'pindah', 'ibukota']",6,Legislation and Government Policies,Neutral,No influencers found,0
03/01/2020,https://bisnis.tempo.co/read/1290616/luhut-rapat-bersama-menteri-pupr-dan-juara-sayembara-ibu-kota,Luhut Rapat Bersama Menteri Pupr Dan Juara Sayembara Ibu Kota,luhut rapat menteri pupr juara sayembara kota,"menteri koordinator bidang maritim dan investasi luhut binsar pandjaitan menggelar rapat bersama menteri pekerjaan umum dan perumahan rakyat basuki hadimuljono dan pemenang sayembara desain ibu kota negara baru. namun, ia menduga rapat itu akan membahas soal pembiayaan ibu kota negara yang baru. ""pak menko pengen ketemu pemenang sayembara ikn, katanya sudah datang,"" ujar basuki sesaat sebelum memasuki kantor kementerian maritim dan investasi, jakarta, jumat, 3 januari 2019. kendati demikian, basuki mengaku belum mengetahui rincian apa saja yang akan dibahas dalam rapat dengan luhut tersebut.",menteri koordinator bidang maritim investasi luhut binsar pandjaitan menggelar rapat menteri pekerjaan perumahan rakyat basuki hadimuljono pemenang sayembara desain kota negara menduga rapat membahas pembiayaan kota negara menko pengen ketemu pemenang sayembara ikn basuki memasuki kantor kementerian maritim investasi jakarta jumat januari kendati basuki mengaku rincian dibahas rapat luhut,luhut rapat menteri pupr juara sayembara kota menteri koordinator bidang maritim investasi luhut binsar pandjaitan menggelar rapat menteri pekerjaan perumahan rakyat basuki hadimuljono pemenang sayembara desain kota negara menduga rapat membahas pembiayaan kota negara menko pengen ketemu pemenang sayembara ikn basuki memasuki kantor kementerian maritim investasi jakarta jumat januari kendati basuki mengaku rincian dibahas rapat luhut,"['luhut', 'rapat', 'menteri', 'pupr', 'juara', 'sayembara', 'kota', 'menteri', 'koordinator', 'bidang', 'maritim', 'investasi', 'luhut', 'binsar', 'pandjaitan', 'gelar', 'rapat', 'menteri', 'kerja', 'rumah', 'rakyat', 'basuki', 'hadimuljono', 'menang', 'sayembara', 'desain', 'kota', 'negara', 'duga', 'rapat', 'bahas', 'biaya', 'kota', 'negara', 'menko', 'ken', 'ketemu', 'menang', 'sayembara', 'ikn', 'basuki', 'pasuk', 'kantor', 'menteri', 'maritim', 'investasi', 'jakarta', 'jumat', 'januari', 'kendati', 'basuki', 'aku', 'rincian', 'bahas', 'rapat', 'luhut']",1,Infrastructure and Housing Development,Positive,"luhut binsar pandjaitan, basuki hadimuljono",2
03/01/2020,https://finance.detik.com/properti/d-4844902/luhut-panggil-pemenang-sayembara-desain-ibu-kota-baru?single=1,Luhut Panggil Pemenang Sayembara Desain Ibu Kota Baru,luhut panggil pemenang sayembara desain kota,"menko kemaritiman dan investasi luhut binsar pandjaitan mengundang pemenang sayembara desain ibu kota baru ke kantornya. menteri pupr basuki hadimuljono ikut mendampingi para pemenang sayembara bertemu luhut. ""anu pak menko (kemaritiman dan investasi) mau ketemu pemenang sayembara ibu kota negara baru,"" ungkap basuki ditemui di kantor luhut, jakarat pusat, jumat (3/1/2020). basuki mengaku belum tahu banyak apa maksud undangan pertemuan yang diminta luhut.",menko kemaritiman investasi luhut binsar pandjaitan mengundang pemenang sayembara desain kota kantornya menteri pupr basuki hadimuljono mendampingi pemenang sayembara bertemu luhut anu menko kemaritiman investasi ketemu pemenang sayembara kota negara basuki ditemui kantor luhut jakarat pusat jumat basuki mengaku maksud undangan pertemuan luhut,luhut panggil pemenang sayembara desain kota menko kemaritiman investasi luhut binsar pandjaitan mengundang pemenang sayembara desain kota kantornya menteri pupr basuki hadimuljono mendampingi pemenang sayembara bertemu luhut anu menko kemaritiman investasi ketemu pemenang sayembara kota negara basuki ditemui kantor luhut jakarat pusat jumat basuki mengaku maksud undangan pertemuan luhut,"['luhut', 'panggil', 'menang', 'sayembara', 'desain', 'kota', 'menko', 'maritim', 'investasi', 'luhut', 'binsar', 'pandjaitan', 'undang', 'menang', 'sayembara', 'desain', 'kota', 'kantor', 'menteri', 'pupr', 'basuki', 'hadimuljono', 'damping', 'menang', 'sayembara', 'temu', 'luhut', 'anu', 'menko', 'maritim', 'investasi', 'ketemu', 'menang', 'sayembara', 'kota', 'negara', 'basuki', 'temu', 'kantor', 'luhut', 'jakarat', 'pusat', 'jumat', 'basuki', 'aku', 'maksud', 'undang', 'temu', 'luhut']",1,Infrastructure and Housing Development,Positive,"luhut binsar pandjaitan, basuki hadimuljono",2
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
