Title,Tone
Kawal Pembangunan IKN Nusantara Satgas Ops Nusantara Mahakan Gelar Patroli Rutin di Jalan Tol Pulau Balang,Positive
Anggota DPR Bicara Soal Investasi Dana JHT di Surat Utang Negara,Neutral
"Seruan Demo Mahasiswa 11 April ke Istana Negara Tersiar, BEM SI: Menargetkan 1.000 Massa Aksi",Neutral
"Kementerian PUPR Siap Tender 23 Proyek Senilai Rp2,69 Triliun",Positive
Pembangunan IKN diharapkan berdampak terhadap perekonomian masyarakat,Negative
Jokowi: Pengendara Mobil Bahan Bakar Fosil Jangan Pindah ke IKN,Neutral
Analis Masih Pertahankan Target IHSG di Level 7.500 Hingga Akhir Tahun,Positive
Cara Mistis Memulai Proyek Ibu Kota Negara,Neutral
Persiapan Pemindahan ASN ke IKN: Kementerian PANRB dan Kementerian Lainnya Bersinergi,Positive
"Jika Pemindahan Ikn Dibatalkan, Ada Rp 25 T Per Tahun Untuk Pemulihan Ekonomi Pasca Pandemi",Positive
Kementan bantu pengembangan kawasan aneka cabai sambut IKN,Positive
"Tak Hanya Soal Kenaikan Harga BBM, Massa Aksi Desak Pemerintah Tunda Proyek IKN maupun PSN",Negative
"Catatan Akhir Tahun Kinerja Pemerintahan Jokowi-Ma'ruf di Bidang Ekonomi, Politik dan Hukum, Fraksi PKS: Jauh dari Harapan",Negative
"Keterlibatan Mafia Tanah dan Oknum Pejabat Hambat Pembangunan Jalan Tol IKN, JPKP segera Lapor Presiden",Negative
"Jokowi sebut IKN akan jadi ""showcase"" transformasi Indonesia",Neutral
Pemuda Katolik dan GAMKI Kecam Aksi Teror Bom di Gereja Katedral Makassar,Negative
Update IKN: PUPR Tuntaskan Sesi Terakhir Proyek Jalan Lingkar Sepaku,Positive
"Daerah Penyangga IKN, Kalimantan Timur Siap Bantu Penuhi Kebutuhan",Positive
"Anggota Kongres AS Bertemu Jokowi, Puji 'Indonesia is Shining Now'",Positive
Perusahaan Finlandia tawarkan beton rendah karbon sejalan dengan IKN,Negative
"Ajak Dubes Tinjau Persemaian Rumpin, Presiden: Indonesia Serius Tangani Perubahan Iklim",Negative
Demokrat Persilakan Kader Ikut Aksi Tolak Kenaikan BBM,Negative
Menpora Sebut Festival Sandeq Menginspirasi dan Layak Dicontoh Daerah Lain,Positive
Rocky De Plato dan Perubahan Sesungguhnya,Neutral
Presiden tegaskan kembali pembangunan IKN didasari semangat pemerataan,Neutral
"Serupa Tapi Tak Sama! Banyak yang Salah Sangka Soal Kota Padang, Padang Pariaman dan Padang Panjang, Inilah Perbedaannya",Negative
"Mengenal Bambang Susantono, Wakil Menteri Perhubungan Era SBY yang Jabat Kepala Otorita IKN",Neutral
Jokowi Tawarkan Investasi Di Ibu Kota Baru Ke Softbank,Positive
"Ibu Kota Negara Pindah, Gubernur Riau Harap Ada Pemerataan Pembangunan",Positive
Jokowi Claims No Capital City Greener Than IKN,Negative
Korea Selatan Minat Bangun Pabrik Panel Surya di Dekat IKN,Neutral
"IKN Nusantara 25%, Jokowi Ajak Investor Lihat-Lihat Usai Lebaran",Neutral
"Isu Reshuffle Kembali Mencuat, Mahfud MD Terlempar, Andika Perkasa Batal Jadi Panglima TNI",Positive
"Dilantik Jadi Menteri ATR, Hadi Tjahjanto Fokus Selesaikan Tiga Persoalan Pertanahan",Positive
Optimizing Collaboration Potential in the Archipelago Capital (IKN),Positive
"Kritik Proyek IKN di Tengah Hutan, Anies: Tujuan dan Langkah Tidak Nyambung",Negative
"Disebut Wilayah Paling Aman, Ternyata IKN Dihantui Ancaman 3 Sesar Mengerikan Pemicu Gempa hingga Magnitudo 7",Negative
"Beda Jawaban Anies Vs Ganjar Soal IKN, Lanjut Atau Tidak?",Neutral
"Srikandi BUMN ""Goes to Campus"" Unpar dorong wanita lebih berkarya",Positive
Menlu Ajak Australia Investasi di IKN Nusantara,Positive
Peringatan Sumpah Pemuda Ke-94 Akan Dilaksanakan di PPU,Neutral
"Otorita IKN Buka Seleksi Pegawai Pemerintah, Berikut Syaratnya",Neutral
Menteri ATR/BPN: Tinggal 25% Tanah Indonesia yang Belum Terdaftar Lewat PTSL,Neutral
Otorita Tegaskan Tidak Ada Tender Main-main di Proyek IKN Nusantara,Neutral
Presiden Joko Widodo Sebut IKN Nusantara Selesai Pada 15-20 Tahun Kedepan,Neutral
PUPR: Bangunan di IKN Harus Memenuhi Prinsip Bangunan Gedung Cerdas,Neutral
"Kemarin, peluncuran BUMN induk pariwisata hingga metaverse di IKN baru",Neutral
