When the Spike Happens,Topic,Topic Number,TF-IDF Keywords,Non-TF-IDF Keywords,Prominent Tone,Prominent Key Person Affiliation
2020-04,Coordination and Government Programs,5,"said, luhut, didu, hukum, klarifikasi, tuntut, jodi, binsar, pandjaitan, maaf, ngotot, muhammad, koordinator, investasi, mantan, ikn, bumn, jalur, bidang, maritim, negara, surat, sekretaris, mulyani, sri, uang, kritik, dana, utang, beban, ganggu, indrawati, tambah, nyata, laksana, tugas, proses, bijak, covid, tangan, terus, lanjut, habiburokhman, penting, hubung, prioritas, bicara, juru, mahardi, layang","luhut, ikn, investasi, uang, negara, bidang, sri, dana, nyata, tugas, laksana, provinsi, jalan, hubung, rakyat, proses, lanjut, dasar, siap, rumah, terima, jenderal, jabat, usaha, nilai, milik, terang, kabupaten, ri, nomor, resmi, nama, masyarakat, program, biaya, atur, anggar, anggota, komisi, dpr, undang, khusus, salah, dukung, daerah, gubernur, bentuk, sesuai, kunjung, sebut",Negative,Government
2021-08,Coordination and Government Programs,5,"mpr, negara, pphn, ri, pokok, undang, kaji, periode, ketua, bambang, soesatyo, the, uud, haluan, bamsoet, bulungan, amandemen, buka, dasar, sidang, republik, nasional, harap, tahun, pidato, amendemen, hasil, tani, arah, filosofis, sifat, ikn, batas, landas, strategis, tetap, rekomendasi, dpr, masyarakat, of, dukung, partai, urgensi, ubah, aspirasi, daerah, singgung, maktub, misi, tindak","negara, ri, the, undang, ketua, bambang, dasar, nasional, buka, dpr, ubah, of, ikn, daerah, hasil, city, bentuk, masyarakat, persen, provinsi, khusus, uang, kembang, jakarta, tahap, milik, butuh, gedung, harap, negeri, lokasi, salah, program, bidang, satu, sebut, sambut, tol, rakyat, terima, laksana, terang, wilayah, utama, dukung, partai, dki, infrastruktur, hadir, nilai",Neutral,Government
2022-01,Coordination and Government Programs,5,"the, of, mpr, capital, ri, to, ikn, city, is, on, said, pilar, in, new, for, that, bamsoet, head, have, who, authority, president, sosialisasi, one, east, negara, state, kamil, ridwan, and, bangsa, be, january, fapetkan, untad, will, ahok, maritim, government, expert, pusat, not, development, jokowi, momentum, sdgs, or, ketua, dukung, budget","the, of, ikn, city, ri, negara, nusantara, ketua, presiden, jokowi, anggota, jakarta, hadir, bambang, suharso, dpr, bappenas, bahas, istana, pusat, dukung, proses, milik, dunia, wakil, luhut, balikpapan, oikn, terang, gelar, tingkat, nasional, lahan, giat, acara, ruu, nama, program, siap, jalan, selatan, harap, masuk, daerah, usaha, uu, pupr, basuki, target, edy",Positive,Government
2022-03,Coordination and Government Programs,5,"blair, tony, luhut, the, ikn, jokowi, presiden, inggris, arab, saudi, investasi, negara, nusantara, of, menko, softbank, bahas, bin, maritim, binsar, bambang, pm, arah, pandjaitan, masayoshi, bidang, beliau, bogor, istana, pangeran, mahkota, dewan, marves, dana, koordinator, putra, mantan, susantono, in, and, kunjung, salman, perdana, capital, mohammed, erick, lapor, mbs, new, bantu","ikn, luhut, the, nusantara, negara, investasi, of, presiden, jokowi, bidang, kunjung, bambang, bahas, city, istana, susantono, terima, hasil, ri, dana, ketua, jawa, jakarta, tim, khusus, dukung, barat, terang, jalan, milik, kembang, air, undang, kabupaten, salah, satu, badan, masyarakat, najam, paser, investor, gubernur, nilai, sebut, negeri, program, buka, usaha, warga, gelar",Neutral,Government
2022-06,Coordination and Government Programs,5,"ikn, blair, tony, airlangga, golkar, dukung, the, partai, nusantara, negara, komitmen, undang, bantu, bambang, hartarto, ketua, inggris, presiden, bamsoet, oikn, luhut, for, mantan, kuat, one, susantono, menko, masyarakat, jakarta, investasi, internasional, hukum, perdana, didik, of, global, bahas, perhati, sedia, tani, khusus, program, to, kunjung, selandia, laksana, donggala, potensi, pm, ppu","ikn, nusantara, the, luhut, negara, presiden, of, dukung, bambang, undang, kunjung, partai, jokowi, ketua, investasi, jakarta, bahas, terima, susantono, bidang, ri, oikn, tingkat, nasional, masyarakat, dunia, khusus, program, bentuk, city, ppu, harap, proses, laksana, investor, najam, paser, lokasi, milik, dpr, tim, persen, provinsi, hadir, dana, suharso, cepat, pusat, masuk, sebut",Positive,Government
2022-08,Coordination and Government Programs,5,"sepak, ikn, bola, presiden, nusantara, latih, menpora, fasilitas, pusat, jokowi, ketua, pssi, training, bamsoet, olahraga, negara, amal, mpr, center, iriawan, zainudin, mochamad, lengkap, istana, nasional, bambang, merdeka, ganti, pokok, pemuda, arah, jakarta, soesatyo, terima, ri, utama, satu, kembang, dukung, beliau, sepakbola, masyarakat, olimpiade, rumah, luhut, jalan, tahun, camp, pimpin, tuan","ikn, nusantara, presiden, ketua, negara, pusat, jokowi, the, fasilitas, nasional, bambang, jakarta, kembang, masyarakat, dukung, istana, siap, ri, satu, utama, jalan, of, terima, program, buka, kawasan, pimpin, city, lanjut, butuh, harap, terang, laksana, masuk, rumah, tahap, tim, sambut, sumber, rakyat, luhut, salah, tanah, kutip, tni, dpr, bentuk, daerah, sebut, nyata",Neutral,Government
2022-10,Coordination and Government Programs,5,"blair, tony, jokowi, promosi, ikn, presiden, internasional, luhut, nusantara, pemuda, bantu, dunia, negara, inggris, istana, dewan, nasihat, investasi, merdeka, terima, binsar, pandjaitan, damping, pm, koordinator, maritim, menko, mantan, bidang, jakarta, ingat, perdana, sumpah, marves, pratikno, sekretaris, tawar, agenda, kemenpora, hsp, giat, oktober, satu, pmii, pb, terang, ri, the, nasional, pimpin","ikn, nusantara, jokowi, presiden, negara, luhut, the, dunia, istana, nasional, ketua, investasi, jakarta, terima, bidang, laksana, titik, ri, nol, giat, of, city, gelar, pimpin, acara, paser, bambang, hadir, sambut, satu, terang, kabupaten, najam, kutip, wakil, bahas, milik, provinsi, kembang, salah, dukung, badan, usaha, resmi, balikpapan, lanjut, dpr, investor, jabat, tahap",Positive,Government
2023-02,Coordination and Government Programs,5,"ikn, erick, bola, sepak, thohir, latih, presiden, pssi, jokowi, pusat, bamsoet, fifa, nusantara, lapang, training, center, buka, timnas, bidang, ketua, biaya, muhammadiyah, program, kawasan, deputi, the, pemuda, lokasi, muktamar, negara, syarat, sepakbola, sistem, shin, tae, yong, pegawai, nasional, dukung, ajak, mpr, internasional, pena, masyarakat, lamar, amal, persepakbolaan, percaya, resmi, tutup","ikn, presiden, nusantara, the, jokowi, pusat, ketua, of, biaya, buka, negara, kawasan, jakarta, dukung, nasional, balikpapan, program, bidang, ri, resmi, pimpin, terang, hadir, lokasi, gelar, dki, bambang, lanjut, tingkat, infrastruktur, harap, dunia, tni, masyarakat, satu, siap, rapat, rakyat, jabat, najam, paser, rp, triliun, city, kutip, calon, milik, wakil, ppu, tugas",Neutral,Government
2023-05,Coordination and Government Programs,5,"luhut, ikn, investasi, cepat, nusantara, tugas, ketua, jokowi, menko, presiden, tim, erick, satgas, monas, jakarta, force, task, maritim, tanah, pandjaitan, marves, bidang, bambang, koordinator, negara, thohir, bentuk, binsar, khusus, center, city, oikn, kawasan, susantono, satu, bumn, lembaga, koordinasi, dukung, tuai, tingkat, proses, realisasi, jalan, aset, pimpin, alumni, efisien, investor, mengkoordinir","ikn, luhut, investasi, nusantara, cepat, jokowi, tugas, presiden, ketua, jakarta, negara, bidang, bambang, tim, khusus, bentuk, susantono, satu, the, tanah, city, kawasan, tingkat, oikn, dukung, jalan, proses, jabat, terang, pimpin, masyarakat, investor, siap, milik, resmi, butuh, nasional, of, usaha, badan, sesuai, dki, kunjung, kutip, ri, salah, istana, rapat, laksana, selatan",Positive,Government
2023-06,Coordination and Government Programs,5,"luhut, ikn, awas, asing, bule, nusantara, kualitas, investasi, jokowi, tenaga, presiden, cepat, menko, pakai, maritim, mandor, negara, bidang, koordinator, pandjaitan, dpr, marves, tugas, binsar, lokal, alas, ri, ketua, guna, bagus, aku, orang, istana, kritik, rapat, sdm, jakarta, tanah, lapor, bal, anggar, badan, tka, pimpin, kaltara, kembang, usul, jamin, banggar, negeri","ikn, luhut, nusantara, investasi, negara, bidang, presiden, cepat, jokowi, ri, ketua, dpr, jakarta, orang, istana, tugas, buka, tanah, kembang, jalan, negeri, badan, rapat, the, masyarakat, anggar, warga, nasional, pimpin, infrastruktur, sumber, tim, program, nilai, gedung, tingkat, of, hasil, sesuai, pusat, pilih, satu, oikn, nyata, acara, atur, tuju, kutip, sebut, investor",Positive,Government
